longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-120.28,38.03,13.0,2095.0,391.0,860.0,331.0,3.6838,145700.0
-121.86,39.75,18.0,1651.0,309.0,856.0,293.0,3.5046,118300.0
-122.42,37.8,52.0,2852.0,581.0,838.0,510.0,8.0755,500001.0
-122.01,36.95,52.0,1217.0,325.0,508.0,237.0,2.0547,326700.0
-118.32,34.08,52.0,1137.0,304.0,754.0,297.0,3.37,330300.0
-121.89,37.25,26.0,1741.0,323.0,1007.0,339.0,4.7069,234800.0
-117.16,32.71,5.0,2508.0,827.0,2066.0,761.0,1.3092,325000.0
-117.96,33.87,35.0,1972.0,367.0,1152.0,356.0,3.7222,187500.0
-122.31,38.32,33.0,2463.0,421.0,1235.0,465.0,3.7045,161500.0
-117.28,33.1,13.0,2644.0,422.0,1197.0,399.0,6.5338,267900.0
-117.31,34.15,34.0,2037.0,385.0,1195.0,391.0,3.9231,96000.0
-118.45,34.18,33.0,2077.0,486.0,1021.0,450.0,3.6019,225000.0
-121.43,37.75,30.0,1912.0,451.0,1065.0,388.0,2.1424,125000.0
-119.31,36.06,20.0,2236.0,434.0,1405.0,412.0,1.8827,48700.0
-116.51,33.96,16.0,4913.0,1395.0,2518.0,1132.0,1.4665,61100.0
-122.03,37.34,16.0,1755.0,410.0,674.0,410.0,5.1602,231200.0
-117.82,33.73,24.0,845.0,190.0,482.0,190.0,4.7039,225000.0
-122.83,39.09,26.0,2191.0,495.0,679.0,371.0,1.4679,94700.0
-120.86,37.49,37.0,1084.0,271.0,893.0,236.0,1.6213,69500.0
-122.15,37.45,52.0,568.0,91.0,219.0,75.0,6.1575,500001.0
-116.98,32.77,29.0,3558.0,447.0,1097.0,445.0,8.093,379600.0
-119.29,34.26,32.0,3295.0,764.0,1344.0,600.0,3.6007,395500.0
-118.01,33.83,23.0,1086.0,268.0,825.0,250.0,2.4609,219600.0
-122.16,37.75,38.0,2457.0,624.0,1516.0,482.0,1.5625,91700.0
-117.16,34.06,33.0,2101.0,468.0,1997.0,412.0,2.8125,117200.0
-118.23,33.96,44.0,3186.0,876.0,3913.0,842.0,3.0143,148200.0
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0
-118.36,33.83,36.0,1660.0,300.0,943.0,300.0,5.1984,353600.0
-118.45,34.2,19.0,3666.0,1150.0,2657.0,1090.0,2.9688,202100.0
-118.0,33.79,18.0,3679.0,694.0,1820.0,652.0,3.6531,143500.0
-122.34,37.57,52.0,2547.0,373.0,876.0,359.0,8.2598,500001.0
-118.42,34.16,46.0,54.0,9.0,20.0,6.0,0.536,375000.0
-118.34,34.09,14.0,3032.0,999.0,1691.0,841.0,2.2,210000.0
-117.08,32.75,20.0,1989.0,508.0,1452.0,462.0,2.0077,118300.0
-118.1,34.17,48.0,1111.0,229.0,421.0,202.0,3.2813,268100.0
-122.03,37.37,30.0,1269.0,290.0,556.0,266.0,3.8125,325000.0
-119.86,36.78,7.0,2232.0,490.0,1274.0,499.0,2.9853,74700.0
-117.11,32.67,52.0,204.0,74.0,248.0,57.0,1.7961,47500.0
-122.53,37.88,36.0,2688.0,485.0,1064.0,449.0,4.4583,308600.0
-122.27,37.77,52.0,1731.0,377.0,872.0,363.0,4.1667,225800.0
-117.08,33.12,43.0,107.0,44.0,107.0,48.0,0.7054,137500.0
-118.01,33.95,37.0,1165.0,210.0,627.0,221.0,4.6923,181000.0
