longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-121.88,37.26,13.0,1893.0,487.0,1018.0,464.0,3.8047,204700.0
-121.14,37.52,37.0,1358.0,231.0,586.0,214.0,3.1645,170800.0
-121.6,39.12,21.0,1299.0,338.0,1494.0,311.0,1.3348,225000.0
-118.07,33.9,42.0,1007.0,224.0,776.0,228.0,3.8672,162700.0
-118.19,34.05,42.0,1291.0,345.0,1535.0,332.0,1.9083,119200.0
-118.23,33.88,35.0,842.0,201.0,763.0,189.0,2.6719,109800.0
-117.08,33.03,18.0,1339.0,284.0,761.0,290.0,5.3074,137200.0
-117.1,32.66,27.0,1782.0,560.0,1785.0,560.0,2.1542,106300.0
-118.26,34.07,52.0,1802.0,613.0,2382.0,587.0,1.8438,185900.0
-118.0,34.08,23.0,1627.0,318.0,1279.0,289.0,4.6467,185100.0
-117.81,33.67,24.0,3930.0,661.0,1831.0,616.0,6.3767,269000.0
-117.78,33.71,4.0,974.0,232.0,428.0,203.0,4.6141,195400.0
-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,163100.0
-118.25,33.9,42.0,1386.0,320.0,1163.0,319.0,2.4271,89500.0
-118.31,34.05,38.0,1864.0,515.0,1768.0,439.0,1.9336,190600.0
-122.3,37.53,38.0,984.0,171.0,429.0,157.0,5.3261,376800.0
-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,500001.0
-119.67,34.44,32.0,3202.0,537.0,1316.0,538.0,5.2888,463800.0
-120.69,35.62,35.0,3451.0,713.0,1550.0,653.0,2.9167,161700.0
-118.05,33.93,31.0,894.0,203.0,883.0,190.0,3.6771,141500.0
-121.83,37.28,19.0,2644.0,833.0,2317.0,780.0,3.1042,183100.0
-118.13,34.06,30.0,1692.0,398.0,1130.0,365.0,2.8672,198500.0
-117.64,34.07,43.0,1970.0,379.0,1036.0,391.0,3.2083,122800.0
-118.11,34.07,46.0,1130.0,229.0,698.0,209.0,5.2719,244400.0
-118.45,34.18,33.0,2077.0,486.0,1021.0,450.0,3.6019,225000.0
-118.15,33.97,32.0,1174.0,373.0,1758.0,361.0,2.4263,158100.0
-124.15,40.59,39.0,1186.0,238.0,539.0,212.0,2.0938,79600.0
-122.23,37.76,52.0,3011.0,542.0,1303.0,535.0,5.1039,273800.0
-117.22,32.75,26.0,696.0,185.0,384.0,184.0,2.6121,125000.0
-122.68,38.25,29.0,1315.0,240.0,650.0,228.0,3.8269,306000.0
-117.93,33.75,15.0,2448.0,602.0,1666.0,575.0,3.5967,141600.0
-121.92,38.02,8.0,2750.0,479.0,1526.0,484.0,5.102,156500.0
-121.99,36.98,40.0,1104.0,224.0,669.0,215.0,4.3409,256300.0
-118.32,34.08,52.0,2370.0,473.0,1053.0,434.0,4.1429,380300.0
-117.96,33.65,23.0,5379.0,684.0,1826.0,555.0,7.0151,350600.0
-118.3,33.95,27.0,1774.0,444.0,1622.0,402.0,2.2031,96900.0
-118.23,33.96,42.0,1977.0,570.0,2406.0,557.0,2.5913,151600.0
-117.41,33.94,29.0,3181.0,714.0,1603.0,706.0,3.25,112500.0
-118.45,33.8,31.0,4803.0,575.0,1490.0,577.0,11.9993,500001.0
-118.0,34.12,42.0,870.0,170.0,546.0,164.0,4.625,173800.0
-117.37,33.19,18.0,975.0,382.0,650.0,286.0,1.9562,192500.0
-118.45,37.7,15.0,2199.0,453.0,899.0,347.0,2.35,107800.0
-121.89,37.35,44.0,2019.0,615.0,1243.0,518.0,2.0549,193800.0
-119.8,36.72,19.0,1334.0,336.0,1171.0,319.0,1.0481,48500.0
-117.14,32.75,25.0,1908.0,513.0,956.0,467.0,2.4828,133300.0
-121.51,38.54,34.0,2815.0,479.0,1075.0,471.0,3.9792,164800.0
-121.88,36.6,30.0,1671.0,469.0,760.0,375.0,2.5164,178100.0
-116.96,32.8,16.0,3920.0,1094.0,2612.0,1023.0,1.3291,120800.0
